,beam,class,cleaned_text,class_labels
15,available record your message at the tone when you are finished hang up or press pound for more,10,available record your message at the tone when you are finished hang up or press pound for more,positive
70,how may i direct your,10,how may i direct your,positive
128,deck good by at the till,10,deck good by at the till,positive
151,come now don t want location your emergency,10,come now don t want location your emergency,positive
277,tonight cord your message after the beat when you ve finished you may hang up call us about morgan finally to any boy sure of your mess of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it,10,tonight cord your message after the beat when you ve finished you may hang up call us about morgan finally to any boy sure of your mess of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it,positive
295,elected subscribe,10,elected subscribe,positive
359,thank you for the call and have a super,10,thank you for the call and have a super,positive
430,all right hang on while,10,all right hang on while,positive
465,it if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording where where you left off press four,10,it if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording where where you left off press four,positive
603,the old state regular final expense insurance plan which covers a hundred percent of the baroness nor to mason for six six four nine zero eight two six would you like to learn more about it,10,the old state regular final expense insurance plan which covers a hundred percent of the baroness nor to mason for six six four nine zero eight two six would you like to learn more about it,positive
612,if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off press four four,10,if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off press four four,positive
624,all right hang on while i try to reach them,10,all right hang on while i try to reach them,positive
675,make another this,10,make another this,positive
684,you may do it at any time for rick rick glad this,10,you may do it at any time for rick rick glad this,positive
696,message complete press seven to review your message this collision and argued a financial insurance plan which covered the dream in their very trade or condition to deliver your message and transfer a voice stream massaging operator mine to deliver you like to learn more about this system pound to dial an extension zero to deliver your message,10,message complete press seven to review your message this collision and argued a financial insurance plan which covered the dream in their very trade or condition to deliver your message and transfer a voice stream massaging operator mine to deliver you like to learn more about this system pound to dial an extension zero to deliver your message,positive
711,at the till all,10,at the till all,positive
712,you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue continue recording where you left off press for,10,you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue continue recording where you left off press for,positive
726,please record you is about a new state regulation and in that turning covering a hundred women in real funeral or cremation expenses would you like to learn more about it if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off press for,10,please record you is about a new state regulation and in that turning covering a hundred women in real funeral or cremation expenses would you like to learn more about it if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off press for,positive
760,more about it your call has been forwarded to an automated voice message system at the tone please record your message,10,more about it your call has been forwarded to an automated voice message system at the tone please record your message,positive
796,how you have reached diana and mary with age and corals residential specialist for colonel tony i apologize i can t get you to call but if you could please give your name on phone number i will return your call as soon as possible or you can also send me a tack message for a faster response to bristol if you chose to agree abe,10,how you have reached diana and mary with age and corals residential specialist for colonel tony i apologize i can t get you to call but if you could please give your name on phone number i will return your call as soon as possible or you can also send me a tack message for a faster response to bristol if you chose to agree abe,positive
819,if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue continue recording where you left off press for,10,if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue continue recording where you left off press for,positive
881,at the tone please record your message when you have finished recording you may hang up or press one for more options,10,at the tone please record your message when you have finished recording you may hang up or press one for more options,positive
969,all right hang on while i try to reach them this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for in for would you like to learn more about it,10,all right hang on while i try to reach them this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for in for would you like to learn more about it,positive
1008,to send an s notification press five this call is about a new state regulated final expense and shrank and corn the hundred revive your burial funeral,10,to send an s notification press five this call is about a new state regulated final expense and shrank and corn the hundred revive your burial funeral,positive
1027,sorry i m not sure i understood what you said your call is being transferred to the operator for assistance please hold i completely under understand that these new and portable plans have just been approved in your state and everyone qualified so our product specialist can give you more information right now if you like the prices you can go on the otherwise no obligation on your part you have reached the tales about the new state regulated final expense insurance plan which covers one hundred percent of your real funeral or cremation expenses it is mainly designed on friday to leave a message press one would you like to learn more about some one else press two,10,sorry i m not sure i understood what you said your call is being transferred to the operator for assistance please hold i completely under understand that these new and portable plans have just been approved in your state and everyone qualified so our product specialist can give you more information right now if you like the prices you can go on the otherwise no obligation on your part you have reached the tales about the new state regulated final expense insurance plan which covers one hundred percent of your real funeral or cremation expenses it is mainly designed on friday to leave a message press one would you like to learn more about some one else press two,positive
1052,you can leave a message after after the tone when you have finished press the pound key or just hang up,10,you can leave a message after after the tone when you have finished press the pound key or just hang up,positive
1136,would you like to learn more about it if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off press four,10,would you like to learn more about it if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off press four,positive
1164,it to leave a call back number press one to send this message now press pound or hang up to repay your message press three for additional options press press nine,10,it to leave a call back number press one to send this message now press pound or hang up to repay your message press three for additional options press press nine,positive
1334,if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording cording where you left off press four,10,if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording cording where you left off press four,positive
1388,it please hold,10,it please hold,positive
1393,and you hear your call has been forwarded automatic voice message system eight one seven seven three nine three four one five is not available,10,and you hear your call has been forwarded automatic voice message system eight one seven seven three nine three four one five is not available,positive
1423,an up or press one for more ation,10,an up or press one for more ation,positive
1426,it to review or re record your message press one to mark your message urgent press two to mark your message private press three three to send your message as is press,10,it to review or re record your message press one to mark your message urgent press two to mark your message private press three three to send your message as is press,positive
1516,all right hang on while i try to reach them this calling about a new state regulated final expense insurance and which covers a hundred percent of your burial funeral or cremation expenses it is specifically sorry would you like to learn more about thanks and good by,10,all right hang on while i try to reach them this calling about a new state regulated final expense insurance and which covers a hundred percent of your burial funeral or cremation expenses it is specifically sorry would you like to learn more about thanks and good by,positive
1520,if you re satisfied with the message press on to listen to your message press two to erase and re record press three to continue recording where you left left off press for,10,if you re satisfied with the message press on to listen to your message press two to erase and re record press three to continue recording where you left left off press for,positive
1521,if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off press for,10,if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off press for,positive
1549,we did not get your message either because you were not speaking or because of a bad connection to disconnect press one to record your message press two,10,we did not get your message either because you were not speaking or because of a bad connection to disconnect press one to record your message press two,positive
1556,this call is about a new state regulated final event in that land which covered a hundred percent of your burial funeral or cremation expenses it is specifically illy designed for the people on fixed income or social security would you like to learn more about else press two to disconnect press star nine or just hang up,10,this call is about a new state regulated final event in that land which covered a hundred percent of your burial funeral or cremation expenses it is specifically illy designed for the people on fixed income or social security would you like to learn more about else press two to disconnect press star nine or just hang up,positive
1557,music at the tone,10,music at the tone,positive
1633,all right hang on while i try to read them,10,all right hang on while i try to read them,positive
1635,after you have for me a new state to regulate its final workman your moral would cover one hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it to listen to your message press one to re record your message press to to continue recording your message press three,10,after you have for me a new state to regulate its final workman your moral would cover one hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it to listen to your message press one to re record your message press to to continue recording your message press three,positive
1652,about it,10,about it,positive
1716,it s not available please leave your message after the tone,10,it s not available please leave your message after the tone,positive
1856,at the tone please record your message when you have finished recording simply hang up or press pound for further options,10,at the tone please record your message when you have finished recording simply hang up or press pound for further options,positive
1925,at the touch,10,at the touch,positive
1934,learn more about it,10,learn more about it,positive
2046,at the tone please record your message when you ve finished recording you may hang up or press one for more options,10,at the tone please record your message when you ve finished recording you may hang up or press one for more options,positive
2063,it subscriber,10,it subscriber,positive
2171,hang up or to hear more option option please press one,10,hang up or to hear more option option please press one,positive
2258,the town please write for you met on the news when you read in before a hang asher or gun or more often of your burial funeral or cremation expenses it is specifically des designed for the people on fixed income or social security would you like to learn more about it if you re satisfied with the message press on to listen to your message press two to erase and re record press three to continue recording where you left off left off press four,10,the town please write for you met on the news when you read in before a hang asher or gun or more often of your burial funeral or cremation expenses it is specifically des designed for the people on fixed income or social security would you like to learn more about it if you re satisfied with the message press on to listen to your message press two to erase and re record press three to continue recording where you left off left off press four,positive
2276,if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off press four,10,if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off press four,positive
2346,after you have finished your message you re paying up or to hear more option please print one this call,10,after you have finished your message you re paying up or to hear more option please print one this call,positive
2351,you ve finished recording you may hang up or press one for more,10,you ve finished recording you may hang up or press one for more,positive
2352,it to listen to your message press one to re record your message press two to continue recording your message press three accept the recording and say,10,it to listen to your message press one to re record your message press two to continue recording your message press three accept the recording and say,positive
2368,this cold about a new so regulated finally and transfer cutter a hundred hundred of your burial maria or cleaning on expenses it is pettily designed for and for the people one can come to would you like to learn more of our things or about,10,this cold about a new so regulated finally and transfer cutter a hundred hundred of your burial maria or cleaning on expenses it is pettily designed for and for the people one can come to would you like to learn more of our things or about,positive
2387,you ve reached the operating room this,10,you ve reached the operating room this,positive
2392,it re record your message press one discard your message press two mark your message urgent press three re repay your recording press for save this recording press the pound key or hang up well we have different offices were on miss page to him then and florid by you like to learn more about it,10,it re record your message press one discard your message press two mark your message urgent press three re repay your recording press for save this recording press the pound key or hang up well we have different offices were on miss page to him then and florid by you like to learn more about it,positive
2497,chris one for more options we did not give your message either because you were not speaking or because of any nation to disconnect press one to record your method calls about annette regulated final expense insurance insurance plan which covers a hundred percent of your burial funeral or cremation extent this case specifically designed for the people on base income or social security would you like would you like to learn more about it are you still there to disconnect press one to record your message press two,10,chris one for more options we did not give your message either because you were not speaking or because of any nation to disconnect press one to record your method calls about annette regulated final expense insurance insurance plan which covers a hundred percent of your burial funeral or cremation extent this case specifically designed for the people on base income or social security would you like would you like to learn more about it are you still there to disconnect press one to record your message press two,positive
2591,if you like like to make a poet the perfect delusion you leave a message,10,if you like like to make a poet the perfect delusion you leave a message,positive
2617,it managed to return our guests to their optima level of health we ve been accomplishing this with much success and the key its motivation aside we are motivated to reach our goal our staff goes above and beyond to enrich the life of our guests we provide leading medical care bestride,10,it managed to return our guests to their optima level of health we ve been accomplishing this with much success and the key its motivation aside we are motivated to reach our goal our staff goes above and beyond to enrich the life of our guests we provide leading medical care bestride,positive
2630,well this is a mess to be like this at the tone please recall the state when it lingering you may hang on for over one hundred more on of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording where you left you left off press four,10,well this is a mess to be like this at the tone please recall the state when it lingering you may hang on for over one hundred more on of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it if you re satisfied with the message press one to listen to your message press two to erase and re record press three to continue recording where you left you left off press four,positive
2776,your call has been forwarded to an automatic voice message system seven zero six three five one two nine four or six is not available at the tone please record your message when you have finished recording you may hang up or press one for more options,10,your call has been forwarded to an automatic voice message system seven zero six three five one two nine four or six is not available at the tone please record your message when you have finished recording you may hang up or press one for more options,positive
2784,can you hear your call forward through an automatic voice message scriptum seven three seven two four zero eight six zero zero one is not available at the tone please record your message when you have finished recording you may hang up or press one for more options,10,can you hear your call forward through an automatic voice message scriptum seven three seven two four zero eight six zero zero one is not available at the tone please record your message when you have finished recording you may hang up or press one for more options,positive
2787,if you re satisfied with the message press on to listen to your message press two to erase and re record press three to continue recording recording where you left off press four,10,if you re satisfied with the message press on to listen to your message press two to erase and re record press three to continue recording recording where you left off press four,positive
2794,it please record your message when you have finished recording you may hang up or press one for more options,10,it please record your message when you have finished recording you may hang up or press one for more options,positive
2831,if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off of print for,10,if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left off of print for,positive
2840,message complete,10,message complete,positive
2862,you like,10,you like,positive
2887,ttodaythis,10,ttodaythis,positive
2920,if you are satisfied with your message press one to listen to your message press to cora,10,if you are satisfied with your message press one to listen to your message press to cora,positive
3007,when i call you back i understand that that is hung and leads a message i have when you are in a sort of a show your impression one o your after time to make a decision to leave a call at our new people calculated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it if you re satisfied with the message press on to listen to your message press two to erase and re record press three to continue recording where you left you left off press four,10,when i call you back i understand that that is hung and leads a message i have when you are in a sort of a show your impression one o your after time to make a decision to leave a call at our new people calculated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed for the people on fixed income or social security would you like to learn more about it if you re satisfied with the message press on to listen to your message press two to erase and re record press three to continue recording where you left you left off press four,positive
3020,it cannot receive a message this mail box is full to leave a message for some one else pressed too i completely understand that but these new fordable plans are proved in your state and everyone qualified cane for a product i thought she know you more into most hang up,10,it cannot receive a message this mail box is full to leave a message for some one else pressed too i completely understand that but these new fordable plans are proved in your state and everyone qualified cane for a product i thought she know you more into most hang up,positive
3127,please hold while i try that extension everything in one point,10,please hold while i try that extension everything in one point,positive
3147,the ike for more options,10,the ike for more options,positive
3182,it we did not get your message either because you were not speaking or because of a bad connection to disconnect press one to record your message press you,10,it we did not get your message either because you were not speaking or because of a bad connection to disconnect press one to record your message press you,positive
3294,to we ll begin facing at any time this call is about a new state regulated final expense and to incline which covered a hundred percent of your burial dis funeral heaton expense interruptions would you like to learn more about it to send your message press the pound key to hear your message press one to re record your message press three to cancel your message press princess darcy,10,to we ll begin facing at any time this call is about a new state regulated final expense and to incline which covered a hundred percent of your burial dis funeral heaton expense interruptions would you like to learn more about it to send your message press the pound key to hear your message press one to re record your message press three to cancel your message press princess darcy,positive
3297,swell at the order regulated when finished banford had entered one more are funeral or cremation expensive it is specifically designed for the people the people on fixed income or social security would you like to learn more about,10,swell at the order regulated when finished banford had entered one more are funeral or cremation expensive it is specifically designed for the people the people on fixed income or social security would you like to learn more about,positive
3310,this call is about a new state regulated final expense insurance and which covers a hundred percent of your burial is funeral or cremation alone or it is paying up or would you like to learn more about it to leave a message for some one else press two to disconnect press star nine or just hand,10,this call is about a new state regulated final expense insurance and which covers a hundred percent of your burial is funeral or cremation alone or it is paying up or would you like to learn more about it to leave a message for some one else press two to disconnect press star nine or just hand,positive
3350,please record your message when you have finished recording you may hang up or president,10,please record your message when you have finished recording you may hang up or president,positive
3352,more about if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left you left off price for i completely understand that but these new fordable plans ever proved in your state and everyone qualified prince or protect such limited presto to erase and and re record press three to continue recording where you left off press four,10,more about if you are satisfied with your message press one to listen to your message press two to erase and re record press three to continue recording where you left you left off price for i completely understand that but these new fordable plans ever proved in your state and everyone qualified prince or protect such limited presto to erase and and re record press three to continue recording where you left off press four,positive
3353,satisfied with your message press one to listen to your message press two three,10,satisfied with your message press one to listen to your message press two three,positive
3447,this call,10,this call,positive
3558,this,10,this,positive
3562,it,10,it,positive
3619,all out,10,all out,positive
3623,you grace,10,you grace,positive
3644,her about,10,her about,positive
3754,you ve finished recording you may hang up or press one for more options,10,you ve finished recording you may hang up or press one for more options,positive
3819,bless you this call is that unknown daily regularity of manly pen when you furnished fording under five hundred florins for your burial or more honor for cremation expenses it is specifically specifically designed for the people on fixed income or social security would you like to learn more about it,10,bless you this call is that unknown daily regularity of manly pen when you furnished fording under five hundred florins for your burial or more honor for cremation expenses it is specifically specifically designed for the people on fixed income or social security would you like to learn more about it,positive
3879,review or re record your message press one to mark your message urgent press two to mark your message private press three to send your message as is press the pound key,10,review or re record your message press one to mark your message urgent press two to mark your message private press three to send your message as is press the pound key,positive
3905,printing company please be patient this case manner regulated final expense insurance plan which covers a hundred percent of oleron fuel or cremation expenses have been all out due to the regular more about treasurer weinstein and county council the discount due date to qualify you for the plan or between the ordered has been extended to april thirtieth please hold say that again the next call representative,10,printing company please be patient this case manner regulated final expense insurance plan which covers a hundred percent of oleron fuel or cremation expenses have been all out due to the regular more about treasurer weinstein and county council the discount due date to qualify you for the plan or between the ordered has been extended to april thirtieth please hold say that again the next call representative,positive
4054,it to review or re record your message press one to mark your message urgent press two to mark your message private press three three to send your message as i press the pound key,10,it to review or re record your message press one to mark your message urgent press two to mark your message private press three three to send your message as i press the pound key,positive
4086,thank you for your call this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation,10,thank you for your call this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation,positive
4097,all right hang on while i try to reach them this,10,all right hang on while i try to reach them this,positive
4277,we re sorry you have reached a number that has been disconnected or is no longer longer in service if you feel you ve reached this recording in error please check the number and try your call again thank you nine three,10,we re sorry you have reached a number that has been disconnected or is no longer longer in service if you feel you ve reached this recording in error please check the number and try your call again thank you nine three,positive
4291,and when all has been forwarded automatic voice message system two one seven two five zero nine eight two one is not available at the tone please record your message when you have finished recording you may hang up or press one for more options,10,and when all has been forwarded automatic voice message system two one seven two five zero nine eight two one is not available at the tone please record your message when you have finished recording you may hang up or press one for more options,positive
4315,it to review re record or add to your message press one to mark your message urgent press two to mark your message private press press three to send your message as is postponed,10,it to review re record or add to your message press one to mark your message urgent press two to mark your message private press press three to send your message as is postponed,positive
4356,your message when you ve finished recording you may hang up or press one for more options,10,your message when you ve finished recording you may hang up or press one for more options,positive
