,beam,class,cleaned_text,class_labels
0,no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified,8,no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified,not_intrested
5,it now is the karma,8,it now is the karma,not_intrested
12,entertained by bad faith no no would not thank you i completely understand that but,8,entertained by bad faith no no would not thank you i completely understand that but,not_intrested
18,but that i had to borrow money and would pay my bills with it,8,but that i had to borrow money and would pay my bills with it,not_intrested
19,no thank you,8,no thank you,not_intrested
32,it though i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products specially,8,it though i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products specially,not_intrested
33,it now hang on i complete rude,8,it now hang on i complete rude,not_intrested
44,it no thank you i completely understand that but these fordable plans have just,8,it no thank you i completely understand that but these fordable plans have just,not_intrested
47,it no not really,8,it no not really,not_intrested
48,no i thank you thank you,8,no i thank you thank you,not_intrested
68,more about thou nodded,8,more about thou nodded,not_intrested
75,it no she would complete,8,it no she would complete,not_intrested
82,grace i,8,grace i,not_intrested
86,i don t think so thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our pro our product specialists can give you more information,8,i don t think so thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our pro our product specialists can give you more information,not_intrested
88,it now,8,it now,not_intrested
94,it mark,8,it mark,not_intrested
114,it no not one i,8,it no not one i,not_intrested
116,it no thank you good bye i come,8,it no thank you good bye i come,not_intrested
119,hello would you like to learn more about it me i,8,hello would you like to learn more about it me i,not_intrested
124,it no i completely understand that but these new oiled and hamlet no means no thank you by by,8,it no i completely understand that but these new oiled and hamlet no means no thank you by by,not_intrested
147,it no i would not i completely understand that do you understand it,8,it no i would not i completely understand that do you understand it,not_intrested
148,it no i have no money to pay for the faith i completely understand that,8,it no i have no money to pay for the faith i completely understand that,not_intrested
149,anything i don t need that ma am thank you,8,anything i don t need that ma am thank you,not_intrested
155,it no i would not i completely understand that but you,8,it no i would not i completely understand that but you,not_intrested
157,don t need i completely understand that but these new force as i don t mean i don t need it we have not set,8,don t need i completely understand that but these new force as i don t mean i don t need it we have not set,not_intrested
165,it no thank you good bye i completely understand that but these new,8,it no thank you good bye i completely understand that but these new,not_intrested
169,it no i completely at me out of the list,8,it no i completely at me out of the list,not_intrested
179,thank ye i complete,8,thank ye i complete,not_intrested
195,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified for me specially as fish,8,it no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified for me specially as fish,not_intrested
201,it no i don t think so thank you i completely understand that but these new fordable plans,8,it no i don t think so thank you i completely understand that but these new fordable plans,not_intrested
219,it no no thank you i completely understand that but these new and fordable plans have just been approved in your state and everyone qualified,8,it no no thank you i completely understand that but these new and fordable plans have just been approved in your state and everyone qualified,not_intrested
221,it no i am not the certain person to speak regarding this fly for there is a again i,8,it no i am not the certain person to speak regarding this fly for there is a again i,not_intrested
233,it no i would,8,it no i would,not_intrested
235,now,8,now,not_intrested
242,it no i don t think so i don t think so thank you i completely,8,it no i don t think so i don t think so thank you i completely,not_intrested
248,it no i would not i completely understand that but these new fordable plans have justice the no,8,it no i would not i completely understand that but these new fordable plans have justice the no,not_intrested
255,it i am not feeling well i,8,it i am not feeling well i,not_intrested
262,fine but i don t need any thing then thank thank you grace,8,fine but i don t need any thing then thank thank you grace,not_intrested
269,really i,8,really i,not_intrested
