,beam,class,cleaned_text,class_labels
25,find that i don t need to serve it thank you gray this,11,find that i don t need to serve it thank you gray this,spanish
46,it no i m not interested some one is coming out too long talking about the same thing i m not insted you ve got i,11,it no i m not interested some one is coming out too long talking about the same thing i m not insted you ve got i,spanish
77,it i m not interested,11,it i m not interested,spanish
80,it no because i m not interested in any life in terms,11,it no because i m not interested in any life in terms,spanish
84,no i am not interested thank you i completely understand that but these new fordable plans have just been approved in your state,11,no i am not interested thank you i completely understand that but these new fordable plans have just been approved in your state,spanish
104,the less,11,the less,spanish
121,ivan i don t have medicine and i m too young to apply,11,ivan i don t have medicine and i m too young to apply,spanish
126,it say via notices thank you,11,it say via notices thank you,spanish
136,i don t think i m interested,11,i don t think i m interested,spanish
139,we would be as should i now thank you,11,we would be as should i now thank you,spanish
146,i m fat and i don t need it this,11,i m fat and i don t need it this,spanish
171,it no not interested thank you i completely understand that but these new fordable plans have just been approved in your state,11,it no not interested thank you i completely understand that but these new fordable plans have just been approved in your state,spanish
251,i don t need any citizen care,11,i don t need any citizen care,spanish
274,i m tired of calls from there i have everything i need and,11,i m tired of calls from there i have everything i need and,spanish
281,i m not answered i thank you very much good by this call,11,i m not answered i thank you very much good by this call,spanish
338,i m doing fine and i don t mean any thank you great,11,i m doing fine and i don t mean any thank you great,spanish
352,it no i m not interested in it i thank you for caring though i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products,11,it no i m not interested in it i thank you for caring though i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products,spanish
365,what is it amy i m not interested in what is it i,11,what is it amy i m not interested in what is it i,spanish
374,well my daughter taking care of all this stuff like that,11,well my daughter taking care of all this stuff like that,spanish
410,i m doing fine one don t need any more care thank you great,11,i m doing fine one don t need any more care thank you great,spanish
426,no i m not interested in bury i m trying to live thank ye,11,no i m not interested in bury i m trying to live thank ye,spanish
483,it i m not interrupted,11,it i m not interrupted,spanish
485,i am not interested in case i completely understand that but these new fordable plans have just been approved in over everyone,11,i am not interested in case i completely understand that but these new fordable plans have just been approved in over everyone,spanish
506,it maria all folk are plenty on fifty i completely,11,it maria all folk are plenty on fifty i completely,spanish
518,it no my daughter said i can only say i do madame take it,11,it no my daughter said i can only say i do madame take it,spanish
532,interested,11,interested,spanish
555,nobody not interested ma am thank you very much but,11,nobody not interested ma am thank you very much but,spanish
559,good and i m not interested great this,11,good and i m not interested great this,spanish
615,it no ma am no ma am i m not in it thank you,11,it no ma am no ma am i m not in it thank you,spanish
628,i m ok i m not interested in buying anything great,11,i m ok i m not interested in buying anything great,spanish
632,no good i m okay but,11,no good i m okay but,spanish
708,your dear i was this call is about a new state,11,your dear i was this call is about a new state,spanish
718,it i m not interested in it thank you,11,it i m not interested in it thank you,spanish
719,it my my children little care i don t care i don t understand too much,11,it my my children little care i don t care i don t understand too much,spanish
733,it well not reveals my wife here maybe he the everything o my daughter i completely understand that these new portable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you if you like the prices you can go on otherwise no obligation on your part ok feel like i say for had ye all i run in to do it,11,it well not reveals my wife here maybe he the everything o my daughter i completely understand that these new portable plans have just been approved in your state and everyone qualified so our product specialists can give you more information right now if you if you like the prices you can go on otherwise no obligation on your part ok feel like i say for had ye all i run in to do it,spanish
740,i m done tired but i m not i m not to sanction she s not,11,i m done tired but i m not i m not to sanction she s not,spanish
812,it no thanks i m not interested,11,it no thanks i m not interested,spanish
824,as i talk to you,11,as i talk to you,spanish
830,it no i m not i to thank you i completely,11,it no i m not i to thank you i completely,spanish
862,it now i do not care,11,it now i do not care,spanish
890,i find man but i m not interested said,11,i find man but i m not interested said,spanish
900,i m not doing good just i m not interested it,11,i m not doing good just i m not interested it,spanish
909,it no i don t care about any more of that thank you i completely understand that but these new,11,it no i don t care about any more of that thank you i completely understand that but these new,spanish
915,you have a better,11,you have a better,spanish
963,fine am i interested grace,11,fine am i interested grace,spanish
1039,it ah i m not interested that thank you very much for the,11,it ah i m not interested that thank you very much for the,spanish
1060,it i don t want toknow nothin about nothin i completely understand that,11,it i don t want toknow nothin about nothin i completely understand that,spanish
1084,i m doing fine but i don t need your insurance grey this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense to design design or without would you like to learn,11,i m doing fine but i don t need your insurance grey this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expense to design design or without would you like to learn,spanish
1101,thank you very much i don t need thank you i call it,11,thank you very much i don t need thank you i call it,spanish
1104,they ve any memory but i m i m sorry but i m not i m not interested things anyway i,11,they ve any memory but i m i m sorry but i m not i m not interested things anyway i,spanish
1107,i m fine but i m not interested rest in his calm i completely understand that this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is remarkably yesterday that i wasn t interested would you like to learn more about it,11,i m fine but i m not interested rest in his calm i completely understand that this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is remarkably yesterday that i wasn t interested would you like to learn more about it,spanish
1138,it no thank you my daughters take care everything take you very much for good,11,it no thank you my daughters take care everything take you very much for good,spanish
1176,it then i am a sister of mercy and my community takes care of,11,it then i am a sister of mercy and my community takes care of,spanish
1257,it ah my wife handles all that i do,11,it ah my wife handles all that i do,spanish
1276,amy i m not interested the american senor i have everything kate please stop calling,11,amy i m not interested the american senor i have everything kate please stop calling,spanish
1291,a fine i m isle leaving i m sorry but i don t need any information from the senor here thank you great this,11,a fine i m isle leaving i m sorry but i don t need any information from the senor here thank you great this,spanish
1308,it no i m not interested thank you i completely understand that but these new,11,it no i m not interested thank you i completely understand that but these new,spanish
1375,i m doin fine amy but i don t need a slave great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is it is hardy having a burial plan thank you very much haven t i say great this call is about a new state regulated final expense insurance plan which covers a hundred,11,i m doin fine amy but i don t need a slave great this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is it is hardy having a burial plan thank you very much haven t i say great this call is about a new state regulated final expense insurance plan which covers a hundred,spanish
1381,i m not a thing you said sir,11,i m not a thing you said sir,spanish
1451,i m dealing okay but i m not interested in anything blazed off again that all about a new state regulated final expense insurance plan no no no percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security purity would you like to learn more about it,11,i m dealing okay but i m not interested in anything blazed off again that all about a new state regulated final expense insurance plan no no no percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security purity would you like to learn more about it,spanish
1456,i m not interested i,11,i m not interested i,spanish
1459,oh we re not interested i,11,oh we re not interested i,spanish
1470,it no no i m not interested thank you i completely understand that,11,it no no i m not interested thank you i completely understand that,spanish
1530,my honey in interrupted singer sit benefit i,11,my honey in interrupted singer sit benefit i,spanish
1583,it no thank you i m not interested,11,it no thank you i m not interested,spanish
1597,not interested i am not interested thank you i can,11,not interested i am not interested thank you i can,spanish
1599,i m fine thank you but i m not interested great,11,i m fine thank you but i m not interested great,spanish
1621,it my daughter take care that that you anyway,11,it my daughter take care that that you anyway,spanish
1668,i died yesterday this,11,i died yesterday this,spanish
1706,no not interest i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product out and get you i understand but it s not going to take much time i have a private in the line who can show you some options and you can take your time,11,no not interest i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product out and get you i understand but it s not going to take much time i have a private in the line who can show you some options and you can take your time,spanish
1717,i m not interested they,11,i m not interested they,spanish
1753,not interested i,11,not interested i,spanish
1768,it agnes and,11,it agnes and,spanish
1788,i find i really don t need your services,11,i find i really don t need your services,spanish
1808,i m not really interested i plan on living for ever thank you i completely understand that,11,i m not really interested i plan on living for ever thank you i completely understand that,spanish
1951,it no indeed i,11,it no indeed i,spanish
2003,i am fine i don t need any care i m fine thank,11,i am fine i don t need any care i m fine thank,spanish
2020,it well my daughter smith takes care of that army and so,11,it well my daughter smith takes care of that army and so,spanish
2036,interest i m not interested i completely understand that but these new fordable plants have no no no you don t understand hang up this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial a funeral a dam on hanging up it is specifically designed designed for the people on fixed on one of them stupid things would you like to learn more about it no thank you hang up,11,interest i m not interested i completely understand that but these new fordable plants have no no no you don t understand hang up this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial a funeral a dam on hanging up it is specifically designed designed for the people on fixed on one of them stupid things would you like to learn more about it no thank you hang up,spanish
2045,no i m not interested i,11,no i m not interested i,spanish
2048,i m doing fine amy but need i think thank you great this,11,i m doing fine amy but need i think thank you great this,spanish
2071,an arrested if i m not in arrested i completely understand that but these new,11,an arrested if i m not in arrested i completely understand that but these new,spanish
2076,it no i m not interested thank you i completely understand that,11,it no i m not interested thank you i completely understand that,spanish
2100,it no ma am i don t leave a word i thank you,11,it no ma am i don t leave a word i thank you,spanish
2159,no not really hell i m on a fixed income but i own part of the funeral home so i say they ll take care of me when i go,11,no not really hell i m on a fixed income but i own part of the funeral home so i say they ll take care of me when i go,spanish
2199,i got a family man for takin care o dat stuff for me i,11,i got a family man for takin care o dat stuff for me i,spanish
2218,it well my boy the one that takes care of us,11,it well my boy the one that takes care of us,spanish
2248,no not in he said i,11,no not in he said i,spanish
2274,no no i m not indeed i completely understand that but the,11,no no i m not indeed i completely understand that but the,spanish
2297,we were not interrupted,11,we were not interrupted,spanish
